"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds"
"10.1525/collabra.70","70","What is the Relationship Between ""Personality"" and ""Social"" Psychologies? Network, Community, and Whole Text Analyses of The Structure of Contemporary Scholarship","2017-03-20","pdf/collabra.70.pdf","xml/collabra.70.xml",TRUE,TRUE,TRUE
"10.1525/collabra.95","95","How Much Group is Necessary? Group-To-Individual Transfer in Estimation Tasks","2017-07-07","pdf/collabra.95.pdf","xml/collabra.95.xml",TRUE,TRUE,TRUE
"10.1525/collabra.90","90","Selective Attention in Inattentional Blindness: Selection is Specific but Suppression is Not","2017-08-07","pdf/collabra.90.pdf","xml/collabra.90.xml",TRUE,TRUE,TRUE
"10.1525/collabra.96","96","Does a Working Memory Load Really Influence Semantic Priming? A Self-replication Attempt","2017-08-07","pdf/collabra.96.pdf","xml/collabra.96.xml",TRUE,TRUE,TRUE
"10.1525/collabra.94","94","Language Specific and Language General Motivations of Production Choices: A Multi-Clause and Multi-Language Investigation","2017-09-19","pdf/collabra.94.pdf","xml/collabra.94.xml",TRUE,TRUE,TRUE
"10.1525/collabra.97","97","The Collaborative Roots of Corruption? A Replication of Weisel & Shalvi (2015)","2017-11-16","pdf/collabra.97.pdf","xml/collabra.97.xml",TRUE,TRUE,TRUE
"10.1525/collabra.71","71","Too Good to be False: Nonsignificant Results Revisited","2017-03-29","pdf/collabra.71.pdf","xml/collabra.71.xml",TRUE,TRUE,TRUE
"10.1525/collabra.107","107","Collections 2 : Using ""Crowdsourcing"" within Psychological Research","2017-11-09","pdf/collabra.107.pdf","xml/collabra.107.xml",TRUE,TRUE,TRUE
"10.1525/collabra.88","88","What's Done is Done: Verb Aspect and Verbatim Memory","2017-09-27","pdf/collabra.88.pdf","xml/collabra.88.xml",TRUE,TRUE,TRUE
"10.1525/collabra.80","80","An Investigation on the Detectability of Deceptive Intent about Flying through Verbal Deception Detection","2017-09-26","pdf/collabra.80.pdf","xml/collabra.80.xml",TRUE,TRUE,TRUE
"10.1525/collabra.76","76","Metaphoric Gestures Facilitate Perception of Intonation More than Length in Auditory Judgments of Non-Native Phonemic Contrasts","2017-03-14","pdf/collabra.76.pdf","xml/collabra.76.xml",TRUE,TRUE,TRUE
"10.1525/collabra.77","77","Cash or Credit? Compensation in Psychology Studies: Motivation Matters","2017-05-12","pdf/collabra.77.pdf","xml/collabra.77.xml",TRUE,TRUE,TRUE
