"doi","article_id","title","year","license","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date"
"10.7554/elife.36600","elife36600","A SLC4 family bicarbonate transporter is critical for intracellular pH regulation and biomineralization in sea urchin embryos",2018,"cc-by","pdf/elife.elife36600.pdf","xml/elife.elife36600.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.40251","elife40251","Meiotic drive of female-inherited supernumerary chromosomes in a pathogenic fungus",2018,NA,"pdf/elife.elife40251.pdf","xml/elife.elife40251.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.33052","elife33052","Presenilin mutations deregulate mitochondrial Ca2+ homeostasis and metabolic activity causing neurodegeneration in Caenorhabditis elegans",2018,"cc-by","pdf/elife.elife33052.pdf","xml/elife.elife33052.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.35989","elife35989","Systematic perturbation of retroviral LTRs reveals widespread long-range effects on human gene regulation",2018,"cc-by","pdf/elife.elife35989.pdf","xml/elife.elife35989.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.42166","elife42166","New tools for automated high-resolution cryo-EM structure determination in RELION-3",2018,NA,"pdf/elife.elife42166.pdf","xml/elife.elife42166.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.37727","elife37727","Effects of spinal cord stimulation on postural control in Parkinson's disease patients with freezing of gait",2018,"cc-by","pdf/elife.elife37727.pdf","xml/elife.elife37727.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.36662","elife36662","May the force be with you",2018,"cc-by","pdf/elife.elife36662.pdf","xml/elife.elife36662.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.37429","elife37429","An intrinsic cell cycle timer terminates limb bud outgrowth",2018,"cc-by","pdf/elife.elife37429.pdf","xml/elife.elife37429.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.38430","elife38430","Thalidomide promotes degradation of SALL4, a transcription factor implicated in Duane Radial Ray syndrome",2018,NA,"pdf/elife.elife38430.pdf","xml/elife.elife38430.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.40232","elife40232","Conserved and divergent development of brainstem vestibular and auditory nuclei",2018,"cc-by","pdf/elife.elife40232.pdf","xml/elife.elife40232.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.28728","elife28728","Efficient and accurate extraction of in vivo calcium signals from microendoscopic video data",2018,NA,"pdf/elife.elife28728.pdf","xml/elife.elife28728.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.7554/elife.38327","elife38327","Fizzy-Related dictates A cell cycle switch during organ repair and tissue growth responses in the Drosophila hindgut",2018,NA,"pdf/elife.elife38327.pdf","xml/elife.elife38327.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
