"doi","article_id","title","year","license","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date"
"10.3389/fpsyg.2017.01571","fpsyg201701571","Affordance Boundaries Are Defined by Dynamic Capabilities of Parkour Athletes in Dropping from Various Heights",2017,NA,"pdf/frontiers.fpsyg201701571.pdf","xml/frontiers.fpsyg201701571.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01912","fpsyg201701912","Children’s Mathematics and Verbal Self-concepts and Externalizing Behaviors: The Moderating Role of Peer Rejection at School",2017,NA,"pdf/frontiers.fpsyg201701912.pdf","xml/frontiers.fpsyg201701912.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01145","fpsyg201701145","Editorial: How do Emotions and Feelings Regulate Physical Activity?",2017,NA,"pdf/frontiers.fpsyg201701145.pdf","xml/frontiers.fpsyg201701145.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01020","fpsyg201701020","Taking the Concept of Citizenship in Mental Health across Countries. Reflections on Transferring Principles and Practice to Different Sociocultural Contexts",2017,NA,"pdf/frontiers.fpsyg201701020.pdf","xml/frontiers.fpsyg201701020.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00777","fpsyg201700777","An Overview of Interrater Agreement on Likert Scales for Researchers and Practitioners",2017,NA,"pdf/frontiers.fpsyg201700777.pdf","xml/frontiers.fpsyg201700777.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00375","fpsyg201700375","The Predictive Validity of Four Intelligence Tests for School Grades: A Small Sample Longitudinal Study",2017,NA,"pdf/frontiers.fpsyg201700375.pdf","xml/frontiers.fpsyg201700375.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.02049","fpsyg201702049","Psychological Availability between Self-Initiated Expatriates and Host Country Nationals during Their Adjustment: The Moderating Role of Supportive Supervisor Relations",2017,NA,"pdf/frontiers.fpsyg201702049.pdf","xml/frontiers.fpsyg201702049.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00602","fpsyg201700602","Engagement, Persistence, and Gender in Computer Science: Results of a Smartphone ESM Study",2017,"cc-by","pdf/frontiers.fpsyg201700602.pdf","xml/frontiers.fpsyg201700602.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01503","fpsyg201701503","The Dimensional Obsessive-Compulsive Scale: Development and Validation of a Short Form (DOCS-SF)",2017,NA,"pdf/frontiers.fpsyg201701503.pdf","xml/frontiers.fpsyg201701503.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00209","fpsyg201700209","Self-Other Differences in Perceiving Why People Eat What They Eat",2017,"cc-by","pdf/frontiers.fpsyg201700209.pdf","xml/frontiers.fpsyg201700209.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01453","fpsyg201701453","The Minimal and Short-Lived Effects of Minority Language Exposure on the Executive Functions of Frisian-Dutch Bilingual Children",2017,NA,"pdf/frontiers.fpsyg201701453.pdf","xml/frontiers.fpsyg201701453.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01769","fpsyg201701769","Smartphone Applications for Educating and Helping Non-motivating Patients Adhere to Medication That Treats Mental Health Conditions: Aims and Functioning",2017,"cc-by","pdf/frontiers.fpsyg201701769.pdf","xml/frontiers.fpsyg201701769.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00611","fpsyg201700611","Childhood Obesity and Academic Performance: The Role of Working Memory",2017,NA,"pdf/frontiers.fpsyg201700611.pdf","xml/frontiers.fpsyg201700611.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01525","fpsyg201701525","Facilitating Development Research: Suggestions for Recruiting and Re-Recruiting Children and Families",2017,"cc-by","pdf/frontiers.fpsyg201701525.pdf","xml/frontiers.fpsyg201701525.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00267","fpsyg201700267","Are Older Adults Less Embodied? A Review of Age Effects through the Lens of Embodied Cognition",2017,NA,"pdf/frontiers.fpsyg201700267.pdf","xml/frontiers.fpsyg201700267.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01163","fpsyg201701163","Non-suicidal Self-Injury in Eating Disordered Patients: Associations with Heart Rate Variability and State-Trait Anxiety",2017,NA,"pdf/frontiers.fpsyg201701163.pdf","xml/frontiers.fpsyg201701163.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01926","fpsyg201701926","The Relationship between Defense Patterns and DSM-5 Maladaptive Personality Domains",2017,NA,"pdf/frontiers.fpsyg201701926.pdf","xml/frontiers.fpsyg201701926.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00876","fpsyg201700876","Paper vs. Pixel: Can We Use a Pen-and-Paper Method to Measure Athletes' Implicit Doping Attitude?",2017,NA,"pdf/frontiers.fpsyg201700876.pdf","xml/frontiers.fpsyg201700876.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2016.02053","fpsyg201602053","How Knowledge of Ancient Egyptian Women Can Influence Today’s Gender Role: Does History Matter in Gender Psychology?",2017,"cc-by","pdf/frontiers.fpsyg201602053.pdf","xml/frontiers.fpsyg201602053.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.01532","fpsyg201701532","From Training to Organizational Behavior: A Mediation Model through Absorptive and Innovative Capacities",2017,"cc-by","pdf/frontiers.fpsyg201701532.pdf","xml/frontiers.fpsyg201701532.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
"10.3389/fpsyg.2017.00451","fpsyg201700451","Gender-based Differential Item Functioning in the Application of the Theory of Planned Behavior for the Study of Entrepreneurial Intentions",2017,NA,"pdf/frontiers.fpsyg201700451.pdf","xml/frontiers.fpsyg201700451.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21"
