"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1177/2041669517717755","2041669517717755","Gottfried Wilhelm Osann (1833, 1836) on Simultaneous Color Contrast: Translation and Commentary",2017,"pdf/iperc.2041669517717755.pdf","xml/iperc.2041669517717755.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669516685722","2041669516685722","Threshold Differences on Figure and Ground: Gelb and Granit (1923)",2017,"pdf/iperc.2041669516685722.pdf","xml/iperc.2041669516685722.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517707767","2041669517707767","Perceiving Animacy From Deformation and Translation",2017,"pdf/iperc.2041669517707767.pdf","xml/iperc.2041669517707767.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517736072","2041669517736072","Peripheral Visual Cues Contribute to the Perception of Object Movement During Self-Movement",2017,"pdf/iperc.2041669517736072.pdf","xml/iperc.2041669517736072.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517720808","2041669517720808","Temporal Order Judgements of Dynamic Gaze Stimuli Reveal a Postdictive Prioritisation of Averted Over Direct Shifts",2017,"pdf/iperc.2041669517720808.pdf","xml/iperc.2041669517720808.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669516680114","2041669516680114","Depth Perception and the History of Three-Dimensional Art: Who Produced the First Stereoscopic Images?",2017,"pdf/iperc.2041669516680114.pdf","xml/iperc.2041669516680114.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669516687770","2041669516687770","A Glossy Simultaneous Contrast: Conjoint Measurements of Gloss and Lightness",2017,"pdf/iperc.2041669516687770.pdf","xml/iperc.2041669516687770.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517750161","2041669517750161","Seeing Colors: Cultural and Environmental Influences on Episodic Memory",2017,"pdf/iperc.2041669517750161.pdf","xml/iperc.2041669517750161.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517716183","2041669517716183","Does Language Influence the Vertical Representation of Auditory Pitch and Loudness?",2017,"pdf/iperc.2041669517716183.pdf","xml/iperc.2041669517716183.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517728944","2041669517728944","Regular Is Longer",2017,"pdf/iperc.2041669517728944.pdf","xml/iperc.2041669517728944.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517690411","2041669517690411","Who is the Usual Suspect? Evidence of a Selection Bias Toward Faces That Make Direct Eye Contact in a Lineup Task",2017,"pdf/iperc.2041669517690411.pdf","xml/iperc.2041669517690411.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517692814","2041669517692814","Influence of Coactors on Saccadic and Manual Responses",2017,"pdf/iperc.2041669517692814.pdf","xml/iperc.2041669517692814.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517699221","2041669517699221","Saccades to Explicit and Virtual Features in the Poggendorff Figure Show Perceptual Biases",2017,"pdf/iperc.2041669517699221.pdf","xml/iperc.2041669517699221.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517717754","2041669517717754","The Eye Pupil’s Response to Static and Dynamic Illusions of Luminosity and Darkness",2017,"pdf/iperc.2041669517717754.pdf","xml/iperc.2041669517717754.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
"10.1177/2041669517706520","2041669517706520","Innocent Body-Shadow Mimics Physical Body",2017,"pdf/iperc.2041669517706520.pdf","xml/iperc.2041669517706520.xml",TRUE,TRUE,TRUE,"0.9","2026-06-21","CC-BY 4.0"
