"doi","title","xml_file","pdf_file","has_jdm_doi","grobid_version","conversion_date","license"
"10.1017/s1930297500000309","Biases in casino betting: The hot hand and the gambler's fallacy","jdm.jdm06001.xml","jdm.jdm06001.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000322","A psychological law of inertia and the illusion of loss aversion","jdm.jdm06002.xml","jdm.jdm06002.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000334","A Domain-Specific Risk-Taking (DOSPERT) scale for adult populations","jdm.jdm06005.xml","jdm.jdm06005.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000358","Can avoidance of complications lead to biased healthcare decisions?","jdm.jdm06008.xml","jdm.jdm06008.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000310","Rebate subsidies, matching subsidies and isolation effects","jdm.jdm06009.xml","jdm.jdm06009.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000036x","The effects of behavioral and outcome feedback on prudent decision-making under conditions of present and future uncertainty","jdm.jdm06013.xml","jdm.jdm06013.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000346","Gender Differences in Risk Assessment: Why do Women Take Fewer Risks than Men?","jdm.jdm06016.xml","jdm.jdm06016.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002357","It must be awful for them: Perspective and task context affects ratings for health conditions","jdm.jdm06018.xml","jdm.jdm06018.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000371","The availability heuristic in the classroom: How soliciting more criticism can boost your course ratings","jdm.jdm06020.xml","jdm.jdm06020.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002321","Probability biases as Bayesian inference","jdm.jdm06124.xml","jdm.jdm06124.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002394","Amos Tversky's contributions to legal scholarship: Remarks at the BDRM session in honor of Amos Tversky, June 16,2006","jdm.jdm06125.xml","jdm.jdm06125.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002333","The influence of the ratio bias phenomenon on the elicitation of health states utilities","jdm.jdm06126.xml","jdm.jdm06126.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002308","Naturalness judgments by lay Americans: Process dominates content in judgments of food or water acceptability and naturalness","jdm.jdm06127.xml","jdm.jdm06127.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000267","Lay intuitions about overall evaluations of experiences","jdm.jdm06130.xml","jdm.jdm06130.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500000085","Possession, feelings of ownership and the endowment effect","jdm.jdm06131.xml","jdm.jdm06131.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s1930297500002345","Are medical treatments for individuals and groups like single-play and multiple-play gambles?","jdm.jdm06133.xml","jdm.jdm06133.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
"10.1017/s193029750000022x","Actor/observer asymmetry in risky decision making","jdm.jdm06134.xml","jdm.jdm06134.pdf",TRUE,"0.8","2026-06-17","CC-BY 4.0"
