"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.5334/joc.3","joc3","Metacognition in Auditory Distraction: How Expectations about Distractibility Influence the Irrelevant Sound Effect",2017,"pdf/joc.joc3.pdf","xml/joc.joc3.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.2","joc2","On the Right Track? Investigating the Effect of Path Characteristics on
                        Visuospatial Bootstrapping in Verbal Serial Recall",2017,"pdf/joc.joc2.pdf","xml/joc.joc2.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.1","joc1","Introducing the Journal of Cognition",2017,"pdf/joc.joc1.pdf","xml/joc.joc1.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.5","joc5","Spatial Integration and the Underlying Mechanisms of Cross-Modality Interference",2018,"pdf/joc.joc5.pdf","xml/joc.joc5.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.19","joc19","Compatibility between Physical Stimulus Size and Left-right Responses:
                        Small is Left and Large is Right",2018,"pdf/joc.joc19.pdf","xml/joc.joc19.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.34","joc34","Pupil Mimicry is the Result of Brightness Perception of the Iris and Pupil",2018,"pdf/joc.joc34.pdf","xml/joc.joc34.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.46","joc46","Cues to Lying May be Deceptive: Speaker and Listener Behaviour in an Interactive Game of Deception",2018,"pdf/joc.joc46.pdf","xml/joc.joc46.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.26","joc26","The Risks of Downplaying Top-Down Control",2018,"pdf/joc.joc26.pdf","xml/joc.joc26.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.15","joc15","Differences in Auditory Distraction between Adults and Children: A Duplex-mechanism Approach",2018,"pdf/joc.joc15.pdf","xml/joc.joc15.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.10","joc10","Power Analysis and Effect Size in Mixed Effects Models: A Tutorial",2018,"pdf/joc.joc10.pdf","xml/joc.joc10.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.40","joc40","Controlling the Resit Effect by Means of Investment Depreciation",2018,"pdf/joc.joc40.pdf","xml/joc.joc40.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.22","joc22","Number and Continuous Magnitude Processing Depends on Task Goals and Numerosity Ratio",2018,"pdf/joc.joc22.pdf","xml/joc.joc22.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
"10.5334/joc.45","joc45","A Word on Words in Words: How Do Embedded Words Affect Reading?",2018,"pdf/joc.joc45.pdf","xml/joc.joc45.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0"
