"doi","article_id","title","title_source","year","volume","startpage","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.52082/jssm.2025.187","2025187","Effects of Acute Upper and Lower Body Resistance Exercise on Cardiovascular Response in Adult Women Through Blood Flow Restriction","crossref",2025,24,187,"pdf/jssm.2025187.pdf","xml/jssm.2025187.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2025.645","2025645","Effect of Exercise on Immune System Markers in Cancer Patients and Survivors: A Systematic Review","crossref",2025,24,645,"pdf/jssm.2025645.pdf","xml/jssm.2025645.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2021.431","2021431","Low-Frequency Vibration Facilitates Post-Exercise Cardiovascular Autonomic Recovery","crossref",2021,20,431,"pdf/jssm.2021431.pdf","xml/jssm.2021431.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2023.526","2023526","Prediction of Half-Marathon Power Target using the 9/3-Minute Running Critical Power Test","crossref",2023,22,526,"pdf/jssm.2023526.pdf","xml/jssm.2023526.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2021.732","2021732","Post-Match Recovery in Soccer with Far-Infrared Emitting Ceramic Material or Cold-Water Immersion","crossref",2021,20,732,"pdf/jssm.2021732.pdf","xml/jssm.2021732.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2024.236","2024236","Genetics of Exercise and Diet-Induced Fat Loss Efficiency: A Systematic Review","crossref",2024,23,236,"pdf/jssm.2024236.pdf","xml/jssm.2024236.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2025.104","2025104","Combining HIIT with Small-Sided Soccer Games Enhances Cardiometabolic and Physical Fitness More Than Each Alone in Overweight Youth: A Randomized Controlled Study","crossref",2025,24,104,"pdf/jssm.2025104.pdf","xml/jssm.2025104.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2024.656","2024656","Characterizing Muscle Activity in Soccer Players with a History of Hamstring Strain Injuries during Accelerated Sprinting","crossref",2024,23,656,"pdf/jssm.2024656.pdf","xml/jssm.2024656.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2023.406","2023406","Maximal and Submaximal Intensity Isometric Knee Extensions Induce an Underestimation of Time Estimates with Both Younger And Older Adults: A Randomized Crossover Trial","crossref",2023,22,406,"pdf/jssm.2023406.pdf","xml/jssm.2023406.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2022.68","202268","Sex Differences in Neck Strength Force and Activation Patterns in Collegiate Contact Sport","crossref",2022,21,68,"pdf/jssm.202268.pdf","xml/jssm.202268.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2024.342","2024342","Microdosing Plyometric Training Enhances Jumping Performance, Reactive Strength Index, and Acceleration among Youth Soccer Players: A Randomized Controlled Study Design","crossref",2024,23,342,"pdf/jssm.2024342.pdf","xml/jssm.2024342.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2021.789","2021789","Sports in Natural Environment, Sports in Urban Environment: An fMRI Study about Stress and Attention/Awareness","crossref",2021,20,789,"pdf/jssm.2021789.pdf","xml/jssm.2021789.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.52082/jssm.2021.759","2021759","Comparison of Lower Extremity Kinematics during the Overhead Deep Squat by Functional Movement Screen Score","crossref",2021,20,759,"pdf/jssm.2021759.pdf","xml/jssm.2021759.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
