"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1038/ncomms14374","ncomms14374","Snail reprograms glucose metabolism by repressing phosphofructokinase PFKP allowing cancer cell survival under metabolic stress","2017","pdf/natcomm.ncomms14374.pdf","xml/natcomm.ncomms14374.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms14212","ncomms14212","Modulating supramolecular binding of carbon dioxide in a redox-active porous metal-organic framework","2017","pdf/natcomm.ncomms14212.pdf","xml/natcomm.ncomms14212.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms15508","ncomms15508","IL-17 induced NOTCH1 activation in oligodendrocyte progenitor cells enhances proliferation and inflammatory gene expression","2017","pdf/natcomm.ncomms15508.pdf","xml/natcomm.ncomms15508.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-02370-x","s4146701702370x","Generalized laws of thermodynamics in the presence of correlations","2017","pdf/natcomm.s4146701702370x.pdf","xml/natcomm.s4146701702370x.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-00985-8","s41467017009858","Cancer-associated fibroblasts induce metalloprotease-independent cancer cell invasion of the basement membrane","2017","pdf/natcomm.s41467017009858.pdf","xml/natcomm.s41467017009858.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms16068","ncomms16068","Flat clathrin lattices are dynamic actin-controlled hubs for clathrin-mediated endocytosis and signalling of specific receptors","2017","pdf/natcomm.ncomms16068.pdf","xml/natcomm.ncomms16068.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-01675-1","s41467017016751","The key role of Au-substrate interactions in catalytic gold subnanoclusters","2017","pdf/natcomm.s41467017016751.pdf","xml/natcomm.s41467017016751.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms16135","ncomms16135","Correspondence: The experimental requirements for a photon thermal diode","2017","pdf/natcomm.ncomms16135.pdf","xml/natcomm.ncomms16135.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-00558-9","s41467017005589","Controlling selectivities in CO2 reduction through mechanistic understanding","2017","pdf/natcomm.s41467017005589.pdf","xml/natcomm.s41467017005589.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-00383-0","s41467017003830","Ultra-large single crystals by abnormal grain growth","2017","pdf/natcomm.s41467017003830.pdf","xml/natcomm.s41467017003830.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-01873-x","s4146701701873x","Programmable DNA looping using engineered bivalent dCas9 complexes","2017","pdf/natcomm.s4146701701873x.pdf","xml/natcomm.s4146701701873x.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms15099","ncomms15099","Clonal evolution in myelodysplastic syndromes","2017","pdf/natcomm.ncomms15099.pdf","xml/natcomm.ncomms15099.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-00427-5","s41467017004275","High-quality monolayer superconductor NbSe2 grown by chemical vapour deposition","2017","pdf/natcomm.s41467017004275.pdf","xml/natcomm.s41467017004275.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms14572","ncomms14572","Tumour and host cell PD-L1 is required to mediate suppression of anti-tumour immunity in mice","2017","pdf/natcomm.ncomms14572.pdf","xml/natcomm.ncomms14572.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-00036-2","s41467017000362","Measuring the olfactory bulb input-output transformation reveals a contribution to the perception of odorant concentration invariance","2017","pdf/natcomm.s41467017000362.pdf","xml/natcomm.s41467017000362.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms14779","ncomms14779","Cellular preservation of musculoskeletal specializations in the Cretaceous bird Confuciusornis","2017","pdf/natcomm.ncomms14779.pdf","xml/natcomm.ncomms14779.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms15100","ncomms15100","An intermolecular FRET sensor detects the dynamics of T cell receptor clustering","2017","pdf/natcomm.ncomms15100.pdf","xml/natcomm.ncomms15100.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/s41467-017-01345-2","s41467017013452","Identifying host regulators and inhibitors of liver stage malaria infection using kinase activity profiles","2017","pdf/natcomm.s41467017013452.pdf","xml/natcomm.s41467017013452.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
"10.1038/ncomms15692","ncomms15692","Myosin Va molecular motors manoeuvre liposome cargo through suspended actin filament intersections in vitro","2017","pdf/natcomm.ncomms15692.pdf","xml/natcomm.ncomms15692.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC-BY-NC-ND 4.0 -- check individual article"
