"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1371/journal.pbio.1002447",1002447,"Electrostatic Repulsion Governs TDP-43 C-terminal Domain Aggregation",2016,"pdf/plosbio.1002447.pdf","xml/plosbio.1002447.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002491",1002491,"Paneth Cell-Rich Regions Separated by a Cluster of Lgr5+ Cells Initiate Crypt Fission in the Intestinal Stem Cell Niche",2016,"pdf/plosbio.1002491.pdf","xml/plosbio.1002491.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002383",1002383,"Membrane Potential Dynamics of Spontaneous and Visually Evoked Gamma Activity in V1 of Awake Mice",2016,"pdf/plosbio.1002383.pdf","xml/plosbio.1002383.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002450",1002450,"Neuronal Cell Fate Specification by the Convergence of Different Spatiotemporal Cues on a Common Terminal Selector Cascade",2016,"pdf/plosbio.1002450.pdf","xml/plosbio.1002450.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002476",1002476,"Standards for Cell Line Authentication and Beyond",2016,"pdf/plosbio.1002476.pdf","xml/plosbio.1002476.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002380",1002380,"Tools and Strategies for Malaria Control and Elimination: What Do We Need to Achieve a Grand Convergence in Malaria?",2016,"pdf/plosbio.1002380.pdf","xml/plosbio.1002380.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002499",1002499,"Sex Chromosome-wide Transcriptional Suppression and Compensatory Cis-Regulatory Evolution Mediate Gene Expression in the Drosophila Male Germline",2016,"pdf/plosbio.1002499.pdf","xml/plosbio.1002499.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002419",1002419,"Low Genetic Quality Alters Key Dimensions of the Mutational Spectrum",2016,"pdf/plosbio.1002419.pdf","xml/plosbio.1002419.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002449",1002449,"Structural and Molecular Mechanism of CdpR Involved in Quorum-Sensing and Bacterial Virulence in Pseudomonas aeruginosa",2016,"pdf/plosbio.1002449.pdf","xml/plosbio.1002449.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002378",1002378,"Networking in the Plant Microbiome",2016,"pdf/plosbio.1002378.pdf","xml/plosbio.1002378.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002444",1002444,"Morton, Gould, and Bias: A Comment on “The Mismeasure of Science”",2016,"pdf/plosbio.1002444.pdf","xml/plosbio.1002444.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002420",1002420,"The Effects of Context and Attention on Spiking Activity in Human Early Visual Cortex",2016,"pdf/plosbio.1002420.pdf","xml/plosbio.1002420.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002411",1002411,"Crystal Structure of an Ammonia-Permeable Aquaporin",2016,"pdf/plosbio.1002411.pdf","xml/plosbio.1002411.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002562",1002562,"EDA-Fibronectin Originating from Osteoblasts Inhibits the Immune Response against Cancer",2016,"pdf/plosbio.1002562.pdf","xml/plosbio.1002562.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.2000016",2000016,"Regulation of the Human Telomerase Gene TERT by Telomere Position Effect—Over Long Distances (TPE-OLD): Implications for Aging and Cancer",2016,"pdf/plosbio.2000016.pdf","xml/plosbio.2000016.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002556",1002556,"Principles of Network Architecture Emerging from Comparisons of the Cerebral Cortex in Large and Small Brains",2016,"pdf/plosbio.1002556.pdf","xml/plosbio.1002556.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002525",1002525,"Caging and Uncaging Genetics",2016,"pdf/plosbio.1002525.pdf","xml/plosbio.1002525.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002391",1002391,"Comparative Developmental Transcriptomics Reveals Rewiring of a Highly Conserved Gene Regulatory Network during a Major Life History Switch in the Sea Urchin Genus Heliocidaris",2016,"pdf/plosbio.1002391.pdf","xml/plosbio.1002391.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002344",1002344,"A Novel Platform for the Potentiation of Therapeutic Antibodies Based on Antigen-Dependent Formation of IgG Hexamers at the Cell Surface",2016,"pdf/plosbio.1002344.pdf","xml/plosbio.1002344.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002465",1002465,"Elongation Factor Tu Prevents Misediting of Gly-tRNA(Gly) Caused by the Design Behind the Chiral Proofreading Site of D-Aminoacyl-tRNA Deacylase",2016,"pdf/plosbio.1002465.pdf","xml/plosbio.1002465.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002359",1002359,"Near-Stasis in the Long-Term Diversification of Mesozoic Tetrapods",2016,"pdf/plosbio.1002359.pdf","xml/plosbio.1002359.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002389",1002389,"Investing in Health Innovation: A Cornerstone to Achieving Global Health Convergence",2016,"pdf/plosbio.1002389.pdf","xml/plosbio.1002389.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002402",1002402,"MamO Is a Repurposed Serine Protease that Promotes Magnetite Biomineralization through Direct Transition Metal Binding in Magnetotactic Bacteria",2016,"pdf/plosbio.1002402.pdf","xml/plosbio.1002402.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002438",1002438,"Farewell to the Lose–Lose Reality of Policing Plant Imports",2016,"pdf/plosbio.1002438.pdf","xml/plosbio.1002438.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002563",1002563,"Spermidine Suppresses Age-Associated Memory Impairment by Preventing Adverse Increase of Presynaptic Active Zone Size and Release",2016,"pdf/plosbio.1002563.pdf","xml/plosbio.1002563.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002533",1002533,"Revised Estimates for the Number of Human and Bacteria Cells in the Body",2016,"pdf/plosbio.1002533.pdf","xml/plosbio.1002533.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002405",1002405,"Invagination of Ectodermal Placodes Is Driven by Cell Intercalation-Mediated Contraction of the Suprabasal Tissue Canopy",2016,"pdf/plosbio.1002405.pdf","xml/plosbio.1002405.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.2000998",2000998,"Virus-Mediated Alterations in miRNA Factors and Degradation of Viral miRNAs by MCPIP1",2016,"pdf/plosbio.2000998.pdf","xml/plosbio.2000998.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002572",1002572,"Relative Contributions of Specific Activity Histories and Spontaneous Processes to Size Remodeling of Glutamatergic Synapses",2016,"pdf/plosbio.1002572.pdf","xml/plosbio.1002572.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002569",1002569,"Visual BOLD Response in Late Blind Subjects with Argus II Retinal Prosthesis",2016,"pdf/plosbio.1002569.pdf","xml/plosbio.1002569.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002575",1002575,"Pharmacological Fingerprints of Contextual Uncertainty",2016,"pdf/plosbio.1002575.pdf","xml/plosbio.1002575.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.2000638",2000638,"Approach-Induced Biases in Human Information Sampling",2016,"pdf/plosbio.2000638.pdf","xml/plosbio.2000638.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
"10.1371/journal.pbio.1002540",1002540,"Resource Availability Modulates the Cooperative and Competitive Nature of a Microbial Cross-Feeding Mutualism",2016,"pdf/plosbio.1002540.pdf","xml/plosbio.1002540.xml",TRUE,TRUE,TRUE,"0.9","2026-06-19","CC-BY 4.0 or CC0"
