"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1371/journal.pmed.1001993",1001993,"The Impact of Hotspot-Targeted Interventions on Malaria Transmission in Rachuonyo South District in the Western Kenyan Highlands: A Cluster-Randomized Controlled Trial",2016,"pdf/plosmed.1001993.pdf","xml/plosmed.1001993.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002194",1002194,"Patterns of Immune Infiltration in Breast Cancer and Their Clinical Implications: A Gene-Expression-Based Retrospective Study",2016,"pdf/plosmed.1002194.pdf","xml/plosmed.1002194.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002042",1002042,"Toward a Common Secure Future: Four Global Commissions in the Wake of Ebola",2016,"pdf/plosmed.1002042.pdf","xml/plosmed.1002042.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002090",1002090,"Genetic and Environmental Risk for Chronic Pain and the Contribution of Risk Variants for Major Depressive Disorder: A Family-Based Mixed-Model Analysis",2016,"pdf/plosmed.1002090.pdf","xml/plosmed.1002090.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002147",1002147,"Conveying Equipoise during Recruitment for Clinical Trials: Qualitative Synthesis of Clinicians’ Practices across Six Randomised Controlled Trials",2016,"pdf/plosmed.1002147.pdf","xml/plosmed.1002147.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002022",1002022,"The Clinical Challenge of Sepsis Identification and Monitoring",2016,"pdf/plosmed.1002022.pdf","xml/plosmed.1002022.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1001959",1001959,"When Children Become Adults: Should Biobanks Re-Contact?",2016,"pdf/plosmed.1001959.pdf","xml/plosmed.1001959.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002056",1002056,"Guidelines for Accurate and Transparent Health Estimates Reporting: the GATHER statement",2016,"pdf/plosmed.1002056.pdf","xml/plosmed.1002056.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1001964",1001964,"Mortality, Morbidity, and Developmental Outcomes in Infants Born to Women Who Received Either Mefloquine or Sulfadoxine-Pyrimethamine as Intermittent Preventive Treatment of Malaria in Pregnancy: A Cohort Study",2016,"pdf/plosmed.1001964.pdf","xml/plosmed.1001964.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1001991",1001991,"Building Learning Health Systems to Accelerate Research and Improve Outcomes of Clinical Care in Low- and Middle-Income Countries",2016,"pdf/plosmed.1001991.pdf","xml/plosmed.1001991.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002197",1002197,"Histological Transformation and Progression in Follicular Lymphoma: A Clonal Evolution Study",2016,"pdf/plosmed.1002197.pdf","xml/plosmed.1002197.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002107",1002107,"Uptake of Home-Based HIV Testing, Linkage to Care, and Community Attitudes about ART in Rural KwaZulu-Natal, South Africa: Descriptive Results from the First Phase of the ANRS 12249 TasP Cluster-Randomised Trial",2016,"pdf/plosmed.1002107.pdf","xml/plosmed.1002107.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002089",1002089,"Progress and Challenges in Scaling Up Laboratory Monitoring of HIV Treatment",2016,"pdf/plosmed.1002089.pdf","xml/plosmed.1002089.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002035",1002035,"Impact Evaluation of a System-Wide Chronic Disease Management Program on Health Service Utilisation: A Propensity-Matched Cohort Study",2016,"pdf/plosmed.1002035.pdf","xml/plosmed.1002035.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002112",1002112,"Social Dancing and Incidence of Falls in Older Adults: A Cluster Randomised Controlled Trial",2016,"pdf/plosmed.1002112.pdf","xml/plosmed.1002112.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002179",1002179,"Genetic Predisposition to an Impaired Metabolism of the Branched-Chain Amino Acids and Risk of Type 2 Diabetes: A Mendelian Randomisation Analysis",2016,"pdf/plosmed.1002179.pdf","xml/plosmed.1002179.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002205",1002205,"Blood-Based Analysis of Circulating Cell-Free DNA and Tumor Cells for Early Cancer Detection",2016,"pdf/plosmed.1002205.pdf","xml/plosmed.1002205.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1002036",1002036,"Strengthening the Reporting of Observational Studies in Epidemiology—Nutritional Epidemiology (STROBE-nut): An Extension of the STROBE Statement",2016,"pdf/plosmed.1002036.pdf","xml/plosmed.1002036.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
"10.1371/journal.pmed.1001948",1001948,"Transforming Living Kidney Donation with a Comprehensive Strategy",2016,"pdf/plosmed.1001948.pdf","xml/plosmed.1001948.xml",TRUE,TRUE,TRUE,0.9,"2026-06-18","CC-BY 4.0 or CC0"
