"doi","article_id","title","year","pdf_file","xml_file","pdf_exists","xml_exists","in_rds","grobid_version","conversion_date","license"
"10.1371/journal.pone.0149351","0149351","A Comparison between BMI, Waist Circumference, and Waist-To-Height Ratio for Identifying Cardio-Metabolic Risk in Children and Adolescents",2016,"pdf/plosone.0149351.pdf","xml/plosone.0149351.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0163693","0163693","Genipin Enhances Kaposi’s Sarcoma-Associated Herpesvirus Genome Maintenance",2016,"pdf/plosone.0163693.pdf","xml/plosone.0163693.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0162186","0162186","Alpha1-Antitrypsin Attenuates Renal Fibrosis by Inhibiting TGF-β1-Induced Epithelial Mesenchymal Transition",2016,"pdf/plosone.0162186.pdf","xml/plosone.0162186.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0156708","0156708","Toll-Like Receptor 2 Stimulation of Osteoblasts Mediates Staphylococcus Aureus Induced Bone Resorption and Osteoclastogenesis through Enhanced RANKL",2016,"pdf/plosone.0156708.pdf","xml/plosone.0156708.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0160261","0160261","Depressive Symptoms Correlate with Disability and Disease Course in Multiple Sclerosis Patients: An Italian Multi-Center Study Using the Beck Depression Inventory",2016,"pdf/plosone.0160261.pdf","xml/plosone.0160261.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0151843","0151843","Errors Disrupt Subsequent Early Attentional Processes",2016,"pdf/plosone.0151843.pdf","xml/plosone.0151843.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0160920","0160920","Differential microRNA Expression and Regulation in the Rat Model of Post-Infarction Heart Failure",2016,"pdf/plosone.0160920.pdf","xml/plosone.0160920.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0160177","0160177","Investigation of Metabolism of Exogenous Glucose at the Early Stage and Onset of Diabetes Mellitus in Otsuka Long-Evans Tokushima Fatty Rats Using [1, 2, 3-13C]Glucose Breath Tests",2016,"pdf/plosone.0160177.pdf","xml/plosone.0160177.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0160834","0160834","Statistical Techniques Complement UML When Developing Domain Models of Complex Dynamical Biosystems",2016,"pdf/plosone.0160834.pdf","xml/plosone.0160834.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
"10.1371/journal.pone.0160534","0160534","Importance of Hypervariable Region 2 for Stability and Affinity of a Shark Single-Domain Antibody Specific for Ebola Virus Nucleoprotein",2016,"pdf/plosone.0160534.pdf","xml/plosone.0160534.xml",TRUE,TRUE,TRUE,"0.9","2026-06-20","CC-BY 4.0 or CC0"
